PORT	LAST_CELL_TYPE	LAST_CELL_INSTANCE	STATUS
PGM_VGMA1[2]	CLKBUFX8AS9	C_100__IOBUF	OK
PGM_VGMA1[3]	CLKBUFX8AS9	C_99__IOBUF	OK
PGM_VGMA1[4]	CLKBUFX8AS9	C_98__IOBUF	OK
PGM_VGMA1[5]	CLKBUFX8AS9	C_97__IOBUF	OK
PGM_VGMA1[6]	CLKBUFX8AS9	C_96__IOBUF	OK
PGM_VGMA1[7]	CLKBUFX8AS9	C_95__IOBUF	OK
PGM_VGMA2[0]	CLKBUFX8AS9	C_110__IOBUF	OK
PGM_VGMA2[1]	CLKBUFX8AS9	C_109__IOBUF	OK
PGM_VGMA2[2]	CLKBUFX8AS9	C_108__IOBUF	OK
PGM_VGMA2[3]	CLKBUFX8AS9	C_107__IOBUF	OK
PGM_VGMA2[4]	CLKBUFX8AS9	C_106__IOBUF	OK
PGM_VGMA2[5]	CLKBUFX8AS9	C_105__IOBUF	OK
PGM_VGMA2[6]	CLKBUFX8AS9	C_104__IOBUF	OK
PGM_VGMA2[7]	CLKBUFX8AS9	C_103__IOBUF	OK
PGM_VGMA3[0]	CLKBUFX8AS9	C_118__IOBUF	OK
PGM_VGMA3[1]	CLKBUFX8AS9	C_117__IOBUF	OK
PGM_VGMA3[2]	CLKBUFX8AS9	C_116__IOBUF	OK
PGM_VGMA3[3]	CLKBUFX8AS9	C_115__IOBUF	OK
PGM_VGMA3[4]	CLKBUFX8AS9	C_114__IOBUF	OK
PGM_VGMA3[5]	CLKBUFX8AS9	C_113__IOBUF	OK
PGM_VGMA3[6]	CLKBUFX8AS9	C_112__IOBUF	OK
PGM_VGMA3[7]	CLKBUFX8AS9	C_111__IOBUF	OK
PGM_VGMA4[0]	CLKBUFX8AS9	C_126__IOBUF	OK
PGM_VGMA4[1]	CLKBUFX8AS9	C_125__IOBUF	OK
PGM_VGMA4[2]	CLKBUFX8AS9	C_124__IOBUF	OK
PGM_VGMA4[3]	CLKBUFX8AS9	C_123__IOBUF	OK
PGM_VGMA4[4]	CLKBUFX8AS9	C_122__IOBUF	OK
PGM_VGMA4[5]	CLKBUFX8AS9	C_121__IOBUF	OK
PGM_VGMA4[6]	CLKBUFX8AS9	C_120__IOBUF	OK
PGM_VGMA4[7]	CLKBUFX8AS9	C_119__IOBUF	OK
PGM_VGMA5[0]	CLKBUFX8AS9	C_134__IOBUF	OK
PGM_VGMA5[1]	CLKBUFX8AS9	C_133__IOBUF	OK
PGM_VGMA5[2]	CLKBUFX8AS9	C_132__IOBUF	OK
PGM_VGMA5[3]	CLKBUFX8AS9	C_131__IOBUF	OK
PGM_VGMA5[4]	CLKBUFX8AS9	C_130__IOBUF	OK
PGM_VGMA5[5]	CLKBUFX8AS9	C_129__IOBUF	OK
PGM_VGMA5[6]	CLKBUFX8AS9	C_128__IOBUF	OK
PGM_VGMA5[7]	CLKBUFX8AS9	C_127__IOBUF	OK
PGM_VGMA6[0]	CLKBUFX8AS9	C_142__IOBUF	OK
PGM_VGMA6[1]	CLKBUFX8AS9	C_141__IOBUF	OK
PGM_VGMA6[2]	CLKBUFX8AS9	C_140__IOBUF	OK
PGM_VGMA6[3]	CLKBUFX8AS9	C_139__IOBUF	OK
PGM_VGMA6[4]	CLKBUFX8AS9	C_138__IOBUF	OK
PGM_VGMA6[5]	CLKBUFX8AS9	C_137__IOBUF	OK
PGM_VGMA6[6]	CLKBUFX8AS9	C_136__IOBUF	OK
PGM_VGMA6[7]	CLKBUFX8AS9	C_135__IOBUF	OK
PGM_VGMA7[0]	CLKBUFX8AS9	C_150__IOBUF	OK
PGM_VGMA7[1]	CLKBUFX8AS9	C_149__IOBUF	OK
PGM_VGMA7[2]	CLKBUFX8AS9	C_148__IOBUF	OK
PGM_VGMA7[3]	CLKBUFX8AS9	C_147__IOBUF	OK
PGM_VGMA7[4]	CLKBUFX8AS9	C_146__IOBUF	OK
PGM_VGMA7[5]	CLKBUFX8AS9	C_145__IOBUF	OK
PGM_VGMA7[6]	CLKBUFX8AS9	C_144__IOBUF	OK
PGM_VGMA7[7]	CLKBUFX8AS9	C_143__IOBUF	OK
PGM_VGMA8[0]	CLKBUFX8AS9	C_158__IOBUF	OK
PGM_VGMA8[1]	CLKBUFX8AS9	C_157__IOBUF	OK
PGM_VGMA8[2]	CLKBUFX8AS9	C_156__IOBUF	OK
PGM_VGMA8[3]	CLKBUFX8AS9	C_155__IOBUF	OK
PGM_VGMA8[4]	CLKBUFX8AS9	C_154__IOBUF	OK
PGM_VGMA8[5]	CLKBUFX8AS9	C_153__IOBUF	OK
PGM_VGMA8[6]	CLKBUFX8AS9	C_152__IOBUF	OK
PGM_VGMA8[7]	CLKBUFX8AS9	C_151__IOBUF	OK
PGM_VGMA9[0]	CLKBUFX8AS9	C_166__IOBUF	OK
PGM_VGMA9[1]	CLKBUFX8AS9	C_165__IOBUF	OK
PGM_VGMA9[2]	CLKBUFX8AS9	C_164__IOBUF	OK
PGM_VGMA9[3]	CLKBUFX8AS9	C_163__IOBUF	OK
PGM_VGMA9[4]	CLKBUFX8AS9	C_162__IOBUF	OK
PGM_VGMA9[5]	CLKBUFX8AS9	C_161__IOBUF	OK
PGM_VGMA9[6]	CLKBUFX8AS9	C_160__IOBUF	OK
PGM_VGMA9[7]	CLKBUFX8AS9	C_159__IOBUF	OK
POFF_BGR	CLKBUFX8AS9	C_407__IOBUF	OK
POFF_DRA_BIAS	CLKBUFX8AS9	C_408__IOBUF	OK
POFF_DRA_CH	CLKBUFX8AS9	C_409__IOBUF	OK
POFF_DRA_CH541_600_R	CLKBUFX8AS9	C_410__IOBUF	OK
POFF_DRA_CH601_612_R	CLKBUFX8AS9	C_411__IOBUF	OK
POFF_DRA_CH613_648_R	CLKBUFX8AS9	C_412__IOBUF	OK
POFF_DRA_CH649_684_R	CLKBUFX8AS9	C_413__IOBUF	OK
POFF_DRA_CH685_720_R	CLKBUFX8AS9	C_414__IOBUF	OK
POFF_DRA_CH721_726_L	CLKBUFX8AS9	C_415__IOBUF	OK
POFF_DRA_CH727_762_L	CLKBUFX8AS9	C_416__IOBUF	OK
POFF_DRA_CH763_774_L	CLKBUFX8AS9	C_417__IOBUF	OK
POFF_DRA_CH775_810_L	CLKBUFX8AS9	C_418__IOBUF	OK
POFF_DRA_CH811_828_L	CLKBUFX8AS9	C_419__IOBUF	OK
POFF_DRA_CH829_840_L	CLKBUFX8AS9	C_420__IOBUF	OK
POFF_DRA_CH841_900_L	CLKBUFX8AS9	C_421__IOBUF	OK
POFF_POR	CLKBUFX8AS9	C_422__IOBUF	OK
POL1A_L	CLKBUFX8AS9	C_423__IOBUF	OK
POL1A_R	CLKBUFX8AS9	C_427__IOBUF	OK
POL1B_L	CLKBUFX8AS9	C_424__IOBUF	OK
POL1B_R	CLKBUFX8AS9	C_428__IOBUF	OK
POL2A_L	CLKBUFX8AS9	C_425__IOBUF	OK
POL2A_R	CLKBUFX8AS9	C_429__IOBUF	OK
POL2B_L	CLKBUFX8AS9	C_426__IOBUF	OK
POL2B_R	CLKBUFX8AS9	C_430__IOBUF	OK
PTAT_EN	CLKBUFX8AS9	C_431__IOBUF	OK
PWRCN[0]	CLKBUFX8AS9	C_441__IOBUF	OK
PWRCN[1]	CLKBUFX8AS9	C_440__IOBUF	OK
PWRCN[2]	CLKBUFX8AS9	C_439__IOBUF	OK
PWRCP[0]	CLKBUFX8AS9	C_438__IOBUF	OK
PWRCP[1]	CLKBUFX8AS9	C_437__IOBUF	OK
PWRCP[2]	CLKBUFX8AS9	C_436__IOBUF	OK
PWRC_GOP[0]	CLKBUFX8AS9	C_433__IOBUF	OK
PWRC_GOP[1]	CLKBUFX8AS9	C_432__IOBUF	OK
PWRC_LS[0]	CLKBUFX8AS9	C_435__IOBUF	OK
PWRC_LS[1]	CLKBUFX8AS9	C_434__IOBUF	OK
R_EMI_BYPASS	CLKBUFX8AS9	C_400__IOBUF	OK
R_GMA_LEAK	CLKBUFX8AS9	C_403__IOBUF	OK
R_GMA_MNT	CLKBUFX8AS9	C_405__IOBUF	OK
R_GMA_S	CLKBUFX8AS9	C_404__IOBUF	OK
R_S6B8B	CLKBUFX8AS9	C_406__IOBUF	OK
R_VGMAI_SEL	CLKBUFX8AS9	C_94__IOBUF	OK
SLIN_A	CLKBUFX8AS9	C_442__IOBUF	OK
SLIN_B	CLKBUFX8AS9	C_443__IOBUF	OK
SRIN_A	CLKBUFX8AS9	C_444__IOBUF	OK
SRIN_B	CLKBUFX8AS9	C_445__IOBUF	OK
TESTO_E	CLKBUFX8AS9	C_446__IOBUF	OK
XRSTA_L	CLKBUFX8AS9	C_449__IOBUF	OK
XRSTA_R	CLKBUFX8AS9	C_448__IOBUF	OK
XRSTB_L	CLKBUFX8AS9	C_451__IOBUF	OK
XRSTB_R	CLKBUFX8AS9	C_450__IOBUF	OK
Y1446_TEST_EN[0]	CLKBUFX8AS9	C_93__IOBUF	OK
Y1446_TEST_EN[1]	CLKBUFX8AS9	C_92__IOBUF	OK
Y1_TEST_EN[0]	CLKBUFX8AS9	C_91__IOBUF	OK
Y1_TEST_EN[1]	CLKBUFX8AS9	C_90__IOBUF	OK
reg_ana_test_sel_L0[0]	CLKBUFX8AS9	C_455__IOBUF	OK
reg_ana_test_sel_L0[1]	CLKBUFX8AS9	C_454__IOBUF	OK
reg_ana_test_sel_L0[2]	CLKBUFX8AS9	C_453__IOBUF	OK
reg_ana_test_sel_L0[3]	CLKBUFX8AS9	C_452__IOBUF	OK
reg_ana_test_sel_L1[0]	CLKBUFX8AS9	C_459__IOBUF	OK
reg_ana_test_sel_L1[1]	CLKBUFX8AS9	C_458__IOBUF	OK
